template_cfg,run_cfg,capacity_value,capacity_unit,cell_file_cfg,cell_file_used,design_target,optimized_for,optimization_target_cfg,read_latency_ns,write_latency_ns,area_mm2,read_dynamic_energy_pj,write_dynamic_energy_pj,leakage_power_uw,status,return_code,log_file,refresh_latency_ns
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__WriteEDP.cfg,32,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.114,0.065,0.273,16,9,85313,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__WriteEDP.cfg.txt,21.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__64KB__WriteEDP.cfg,64,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.119,0.071,0.552,26,14,168071,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__64KB__WriteEDP.cfg.txt,23.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__128KB__WriteEDP.cfg,128,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.127,0.077,1.062,23,16,337377,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__128KB__WriteEDP.cfg.txt,76.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__256KB__WriteEDP.cfg,256,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.17,0.094,1.967,36,24,576134,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__256KB__WriteEDP.cfg.txt,46.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__512KB__WriteEDP.cfg,512,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.255,0.161,1.383,28,22,343128,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__512KB__WriteEDP.cfg.txt,208.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__1024KB__WriteEDP.cfg,1024,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Energy-Delay-Product,WriteEDP,0.323,0.301,1.67,31,23,405594,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__1024KB__WriteEDP.cfg.txt,3125.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__ReadLatency.cfg,32,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.072,0.056,0.325,32,24,103352,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__ReadLatency.cfg.txt,72.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__64KB__ReadLatency.cfg,64,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.097,0.071,0.637,64,51,191821,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__64KB__ReadLatency.cfg.txt,23.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__128KB__ReadLatency.cfg,128,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.114,0.074,1.11,32,25,345206,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__128KB__ReadLatency.cfg.txt,144.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__256KB__ReadLatency.cfg,256,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.143,0.094,2.169,51,39,630876,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__256KB__ReadLatency.cfg.txt,46.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__512KB__ReadLatency.cfg,512,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.205,0.142,4.095,48,41,1.29279e+06,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__512KB__ReadLatency.cfg.txt,288.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__1024KB__ReadLatency.cfg,1024,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Read Latency,ReadLatency,0.273,0.185,7.632,78,66,2.23482e+06,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__1024KB__ReadLatency.cfg.txt,91.0
sample_2D_eDRAM.cfg,sweep_out/tmp_cfgs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__WriteLatency.cfg,32,KB,sample_2D_eDRAM.cell,sample_2D_eDRAM.cell,Cache,Write Latency,WriteLatency,0.072,0.056,0.325,32,24,103352,ok,0,sweep_out/logs/tmp__sample_2D_eDRAM__sample_2D_eDRAM__32KB__WriteLatency.cfg.txt,72.0
